Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
IND,17_18,5591270.235294118,2550000,21000000,46079,5952926.132420924,95051594,
LAC,17_18,7210912.266666667,5881260,22642350,77250,7421726.892503499,108163684,
LAL,17_18,4776418.1,1409040,22642350,46079,6721016.555390075,95528362,
MEM,17_18,5132506.35,1312611,28530608,77250,8765588.637923544,102650127,
MIA,17_18,8156041.533333333,5821260,23775506,1312611,7355356.395748416,122340623,
MIL,17_18,6201514.055555556,2707718,22471911,77250,6516509.559198088,111627253,
MIN,17_18,7725357.866666666,6216840,19000000,77250,6700049.929512987,115880368,
NOP,17_18,6859828.333333333,1904769,25686667,77250,8290590.480030017,123476910,
NYK,17_18,5012290.823529412,3381480,17884176,77250,5558624.942659349,85208944,
OKC,17_18,8724643.8125,4929250,28299399,77250,9665374.230121722,139594301,
ORL,17_18,5858707.5625,4757486,17000000,77250,5587592.437771256,93739321,
PHI,17_18,5887078.352941177,6100266,23000000,77250,6377075.699829291,100080332,
PHX,17_18,3657647.25,3203070,13000000,77250,3611159.7218103125,58522356,
POR,17_18,8148108.615384615,3057240,26153057,1312611,8738916.016035777,105925412,
SAC,17_18,4998310.133333334,3704160,12307692,77250,4084590.2933768886,74974652,
SAS,17_18,6417332.375,1838004.5,21461010,77250,7501856.057736022,102677318,
TOR,17_18,7233575.9375,1645200,28903704,77250,10009548.554004258,115737215,
UTA,17_18,5716269.444444444,3600000,21224719,77250,6161590.270960872,102892850,
WAS,17_18,7567815.230769231,3290000,23775506,77250,7613452.121244772,98381598,
ATL,18_19,3741896,2299080,18089888,47370,4787369.155596866,63612232,
BKN,18_19,4641717.176470588,1942422,19332500,47370,5598278.101172396,78909192,
BOS,18_19,9065958.23076923,5169960,31214295,77250,10765618.168621602,117857457,
CHA,18_19,8090809.666666667,5000000,24000000,77250,7057599.500791061,121362145,
CHI,18_19,4211701.785714285,1447167,19500000,77250,5948397.316890973,58963825,
CLE,18_19,6276322.6,2990580,24119025,76236,7082982.938981989,125526452,
DAL,18_19,3406800.3571428573,1946605.5,12253780,77250,3682954.686740287,47695205,
DEN,18_19,6658190.94117647,2000000,29230769,56845,9253431.003756536,113189246,
DET,18_19,7823159.266666667,3275280,31873932,77250,9664723.1743679,117347389,
GSW,18_19,8552820.176470589,1646400,37457154,77250,11449162.640052106,145397943,
HOU,18_19,8345764.294117647,1512601,35654150,77250,11073893.183222024,141877993,
IND,18_19,7375673.25,5891167,21000000,449794,6635519.012670488,118010772,
LAC,18_19,5542834.5,3847930,21587579,77250,5644833.37919007,99771021,
LAL,18_19,5390974.95,2446943.5,35654150,52170,8166401.497711961,107819499,
MEM,18_19,6544955.857142857,1656092,30521115,47370,9017866.718111603,137444073,
MIA,18_19,8910352.857142856,6408063,24434262,77250,8334971.794445903,124744940,
MIL,18_19,7738797.823529412,3382000,24157304,77250,7747119.523363444,131559563,
MIN,18_19,8330579.375,6794717.5,25467250,47370,7771316.210229014,133289270,
NOP,18_19,6237137.705882353,2205000,26641111,194220,8225571.825089076,106031341,
NYK,18_19,3830693.066666667,1621415,22897200,67370,5724709.683545477,57460396,
OKC,18_19,7975358.125,2256363.5,35665000,77250,11509067.654601866,127605730,
ORL,18_19,6351140.785714285,3755296.5,21590909,77250,6786925.1825300455,88915971,
PHI,18_19,6614474,2667600,25467250,77250,7437931.475689511,112446058,
PHX,18_19,4087870.5714285714,3286452,19245370,77250,4984006.771938166,57230188,
POR,18_19,10335318.615384616,6957105,27977689,1544951,9457840.889602056,134359142,
SAC,18_19,6204579.5,5078437,24107258,77250,6139609.8468414815,86864113,
SAS,18_19,6671923.076923077,2947320,27739975,77250,8716137.027196169,86735000,
TOR,18_19,8558047.055555556,2863468,32700000,77250,10234597.142579272,154044847,
UTA,18_19,7109306.625,4305000,23491573,77250,6794000.831666821,113748906,
WAS,18_19,8017331.888888889,2944640.5,25434262,77250,9135467.263018163,144311974,
ATL,19_20,5922611.214285715,2661420,19000000,522738,6057395.943397601,82916557,
BKN,19_20,5003534.625,2470796.5,31742000,79568,7901660.845025885,80056554,
BOS,19_20,7238863.25,2982096.5,32742000,79568,10466534.737434529,115821812,
CHA,19_20,7595350.416666667,2716067.5,25565217,163356,9016773.41202856,91144205,
CHI,19_20,5343328.333333333,3377568,19500000,79568,5372802.551833735,80149925,
CLE,19_20,8092845.142857143,3836051.5,28942830,65978,9869278.474095473,113299832,
DAL,19_20,6142575.125,3750000,27285000,79568,6944902.807830626,98281202,
DEN,19_20,8344911,2000000,30350000,79568,10159369.07327472,125173665,
DET,19_20,6432971.375,3427381.5,34449964,79568,8748164.17216772,102927542,
GSW,19_20,7424071.384615385,898310,40231758,91557,13002300.95250407,96512928,
HOU,19_20,8783418,2369531.5,38506482,79568,13209222.390337624,122967852,
IND,19_20,7944987,4148277,21000000,1416852,7560118.373558025,95339844,
LAC,19_20,7233756.066666666,2331593,33005556,79568,10913644.317642987,108506341,
LAL,19_20,6496019.611111111,2564753,37436858,79568,10129818.54192917,116928353,
MEM,19_20,6091362.333333333,2625000,16229213,79568,5771171.7829555655,91370435,
MIA,19_20,8013907.125,3547140,32742000,79568,9206967.11966203,128222514,
MIL,19_20,8535137.642857144,3836400,30603448,604278,9523176.092962777,119491927,
MIN,19_20,7392130.2,2530680,27285000,79568,9723645.720095614,110881953,
NOP,19_20,6506958.647058823,4102564,26131111,79568,7141975.1102527995,110618297,
NYK,19_20,6176735.923076923,4855800,18000000,79568,5560444.676978788,80297567,
OKC,19_20,7767862.533333333,2028594,38506482,79568,11698220.19455073,116517938,
ORL,19_20,8763643.923076924,5806440,28000000,79568,8616935.745733151,113927371,
PHI,19_20,7641902.294117647,2320044,32742000,79568,10753547.98656284,129912339,
PHX,19_20,5182167.1875,2837732.5,27285000,79568,7208129.780372097,82914675,
POR,19_20,8693316.333333334,2159029,29802321,79568,10738694.655991107,130399745,
SAC,19_20,6844136.4,4861207,24147727,79568,6935856.743899352,102662046,
SAS,19_20,6463201.533333333,2689920,27739975,79568,9016890.410482444,96948023,
TOR,19_20,7203735,2351838,33296296,79568,10205558.223311163,122463495,
UTA,19_20,6994724.176470588,1737145,32511623,79568,9734350.613818265,118910311,
WAS,19_20,4925185.066666666,1845301,27093018,79568,7400090.050594437,73877776,
ATL,20_21,6878708.25,4612500,19500000,522989,6477665.454529818,110059332,
BKN,20_21,11384400.52631579,2090040,41254920,237648,14836659.4955973,216303610,
BOS,20_21,7557569.882352941,3458400,27500000,653924,8492360.555189623,128478688,
CHA,20_21,6581276.428571428,2875000,28500000,449115,8466535.314921753,92137870,
CHI,20_21,7843342.4375,6152094,26000000,449115,6898927.286900285,125493479,
CLE,20_21,4701759.5,2139576.5,31258256,58452,6983295.270454355,94035190,
DAL,20_21,6632379.375,3948718,29467800,449115,7272633.26454229,106118070,
DEN,20_21,7923609.9375,3564524.5,29542010,332252,9463938.598235821,126777759,
DET,20_21,4630981.875,3285240,19050000,516836,4968675.316676896,74095710,
GSW,20_21,7694148.3125,1793399.5,43006362,249864,12633189.676431242,123106373,
HOU,20_21,7192968.466666667,1824003,41254920,43070,10960134.089717353,107894527,
IND,20_21,7026023.8125,2651580,20700000,123056,7495187.802439538,112416381,
LAC,20_21,8055942.529411765,3814771,35450412,61528,10896785.028926164,136951023,
LAL,20_21,9157079.625,2821815,39219566,449115,12630308.233977158,146513274,
MEM,20_21,5646320.5,2574120,15000000,449115,5066727.302898706,90341128,
MIA,20_21,8318516.117647059,3822240,34379100,647098,9265152.418368004,141414774,
MIL,20_21,7178157.944444444,2690652.5,33051724,24611,10606066.261847768,129206843,
