"Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
13,"INDIANA",367,"Big Ten",5,18,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
14,"FURMAN",379,"SoCon",18,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
15,"HARVARD",384,"Ivy League",17,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
16,"UTAH STATE",428,"Mountain West",16,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
17,"VIRGINIA TECH",451,"ACC",15,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
18,"WISCONSIN",462,"Big Ten",-10,8,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
19,"WASHINGTON",466,"Pac-12",-13,6,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
20,"VIRGINIA",468,"ACC",12,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
21,"BOISE STATE",525,"Mountain West",-11,10,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
22,"OLE MISS",535,"SEC",-5,17,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
23,"VILLANOVA",556,"Big East",0,23,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
24,"ALABAMA",582,"SEC",8,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
25,"TEXAS",588,"Big 12",2,27,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
26,"NC STATE",605,"ACC",-15,11,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
27,"SYRACUSE",610,"ACC",-1,26,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
28,"GEORGETOWN",676,"Big East",4,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
29,"FLORIDA STATE",694,"ACC",2,31,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
30,"ARKANSAS",728,"SEC",-5,25,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
31,"MIDDLE TENNESSEE",865,"Conference USA",1,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
1,"ARKANSAS",96,"SEC",13,14,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
2,"BYU",102,"WCC",5,7,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
3,"STANFORD",123,"Pac-12",2,5,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
4,"NEW MEXICO",168,"Mountain West",-2,2,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
5,"NC STATE",190,"ACC",8,13,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
6,"MICHIGAN STATE",209,"Big Ten",5,11,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
7,"WISCONSIN",235,"Big Ten",3,10,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
8,"AIR FORCE",259,"Mountain West",24,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
9,"FURMAN",290,"SoCon",14,23,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
10,"COLORADO",294,"Pac-12",-9,1,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
11,"WASHINGTON",296,"Pac-12",-2,9,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
12,"FLORIDA STATE",308,"ACC",14,26,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
13,"MICHIGAN",395,"Big Ten",-9,4,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
14,"NORTHERN ARIZONA",406,"Big Sky",18,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
15,"NOTRE DAME",415,"ACC",-7,8,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
16,"UTAH",471,"Pac-12",16,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
17,"BOISE STATE",474,"Mountain West",-11,6,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
18,"PENN STATE",482,"Big Ten",2,20,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
19,"INDIANA",509,"Big Ten",-2,17,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
20,"BOSTON COLLEGE",514,"ACC",12,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
21,"OLE MISS",541,"SEC",1,22,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
22,"ILLINOIS",549,"Big Ten",10,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
23,"OHIO STATE",566,"Big Ten",9,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
24,"VILLANOVA",575,"Big East",0,24,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
25,"TULSA",584,"American",7,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
26,"OREGON",618,"Pac-12",-23,3,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
27,"COLUMBIA",624,"Ivy League",-9,18,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
28,"MINNESOTA",691,"Big Ten",1,29,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
29,"CORNELL",693,"Ivy League",3,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
30,"TEXAS",713,"Big 12",1,31,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
31,"HARVARD",787,"Ivy League",1,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
1,"NORTHERN ARIZONA",83,"Big Sky",0,1,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
2,"BYU",116,"WCC",1,3,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
3,"PORTLAND",160,"WCC",-1,2,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
4,"COLORADO",178,"Pac-12",4,8,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
5,"STANFORD",201,"Pac-12",-1,4,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
6,"WASHINGTON",213,"Pac-12",16,22,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
7,"IOWA STATE",220,"Big 12",0,7,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
8,"WISCONSIN",240,"Big Ten",24,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
9,"COLORADO STATE",309,"Mountain West",0,9,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
10,"BOISE STATE",342,"Mountain West",9,19,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
11,"NC STATE",342,"ACC",6,17,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
12,"WYOMING",371,"Mountain West",20,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
13,"OKLAHOMA STATE",378,"Big 12",16,29,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
14,"NOTRE DAME",401,"ACC",18,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
15,"OREGON",407,"Pac-12",-9,6,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
16,"EASTERN KENTUCKY",430,"OVC",16,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
17,"OLE MISS",431,"SEC",1,18,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
18,"INDIANA",469,"Big Ten",14,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
19,"MICHIGAN",483,"Big Ten",-9,10,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
20,"AIR FORCE",498,"Mountain West",-5,15,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
21,"SOUTHERN UTAH",523,"Big Sky",-10,11,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
22,"PRINCETON",557,"Ivy League",6,28,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
23,"VILLANOVA",577,"Big East",9,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
24,"BRADLEY",580,"Missouri Valley",8,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
25,"ARKANSAS",602,"SEC",-20,5,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
26,"SYRACUSE",603,"ACC",-13,13,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
27,"TEXAS",630,"Big 12",3,30,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
28,"IONA",634,"Metro Atlantic",-16,12,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th"
29,"PURDUE",702,"Big Ten",3,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
30,"TULSA",777,"American",2,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
31,"FLORIDA STATE",845,"ACC",1,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th"
1,"COLORADO",65,"Pac-12",2,3,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
2,"NEW MEXICO",103,"Mountain West",-1,1,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
3,"OREGON",160,"Pac-12",2,5,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
4,"MICHIGAN",213,"Big Ten",5,9,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
5,"STANFORD",232,"Pac-12",-1,4,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
6,"BOISE STATE",288,"Mountain West",0,6,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
7,"BYU",310,"WCC",4,11,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
8,"NOTRE DAME",313,"ACC",24,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
9,"WASHINGTON",321,"Pac-12",12,21,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
10,"WISCONSIN",325,"Big Ten",0,10,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
11,"MICHIGAN STATE",341,"Big Ten",4,15,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
12,"PORTLAND",344,"WCC",20,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
13,"NC STATE",367,"ACC",-5,8,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
14,"ARKANSAS",398,"SEC",-1,13,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
15,"IOWA STATE",403,"Big 12",5,20,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
16,"FLORIDA",455,"SEC",16,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
17,"INDIANA",455,"Big Ten",7,24,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
18,"COLUMBIA",468,"Ivy League",10,28,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
19,"OKLAHOMA STATE",481,"Big 12",11,30,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
20,"PENN STATE",482,"Big Ten",-2,18,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
21,"PRINCETON",488,"Ivy League",11,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
22,"OLE MISS",509,"SEC",3,25,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
23,"FURMAN",527,"SoCon",-16,7,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
24,"VILLANOVA",547,"Big East",-12,12,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
25,"SOUTHERN UTAH",564,"Big Sky",7,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
26,"FLORIDA STATE",584,"ACC",6,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
27,"OREGON STATE",600,"Pac-12",5,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
28,"GEORGIA TECH",653,"ACC",4,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
29,"MINNESOTA",673,"Big Ten",-10,19,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
30,"DARTMOUTH",751,"Ivy League",-1,29,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
31,"TEXAS",862,"Big 12",0,31,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
